Accuracy = 59.6552% (173/290) (classification);
Chave do vetor;beach;bus;cafe/restaurant;car;city_center;forest_path;grocery_store;home;library;metro_station;office;park;residential_area;train;tram;Classe Predita;Classe correta;
b010_0_30.wav;0.502657;0.00689805;0.0028838;0.0022832;0.234172;0.00837089;0.00438746;0.0114937;0.0032086;0.00665874;0.0016901;0.13678;0.0691127;0.00539885;0.00400502;beach;beach;
b010_60_90.wav;0.69423;0.0237121;0.00333457;0.00905592;0.0812311;0.0318744;0.0122734;0.0142994;0.00407467;0.0109245;0.00292674;0.0195328;0.0693901;0.0169021;0.00623863;beach;beach;
b010_150_180.wav;0.800602;0.0106613;0.00297006;0.00701351;0.0303535;0.0276441;0.00558174;0.014555;0.00384617;0.007165;0.00283625;0.0344878;0.0402136;0.00749976;0.00457023;beach;beach;
b010_30_60.wav;0.544461;0.00258017;0.00289728;0.00178603;0.0537343;0.00649732;0.00384169;0.0120655;0.00433432;0.00600087;0.00163759;0.306091;0.0484756;0.0029655;0.00263129;beach;beach;
b010_120_150.wav;0.661016;0.0121446;0.00217266;0.00572628;0.114003;0.0167247;0.00591684;0.0135792;0.00377118;0.0077949;0.00229246;0.0521304;0.0866052;0.011253;0.00486951;beach;beach;
b022_120_150.wav;0.732818;0.035059;0.0115056;0.0197959;0.0365359;0.018897;0.017946;0.0215548;0.00520863;0.0323565;0.00487589;0.0183825;0.0105572;0.0200309;0.0144764;beach;beach;
b022_60_90.wav;0.404076;0.044231;0.0244538;0.0181658;0.10218;0.0182917;0.13362;0.0818473;0.0118899;0.0706674;0.00566736;0.0257084;0.0112597;0.0183816;0.0295602;beach;beach;
b022_180_210.wav;0.799257;0.0253885;0.00765592;0.0107169;0.033347;0.00955227;0.0173481;0.0147838;0.00396345;0.0245495;0.00340209;0.0122147;0.0074908;0.0174275;0.0129022;beach;beach;
b022_30_60.wav;0.69392;0.0181397;0.0132014;0.0119541;0.0369994;0.0119704;0.0285132;0.0321692;0.0107166;0.0974449;0.00438489;0.0113125;0.00739795;0.0108451;0.0110308;beach;beach;
b022_90_120.wav;0.678576;0.0288555;0.0123548;0.015011;0.0517915;0.0131884;0.0395391;0.0319238;0.00780121;0.0526212;0.00462913;0.0142239;0.00891408;0.0214683;0.0191019;beach;beach;
b022_150_180.wav;0.919809;0.00627321;0.00219149;0.0033567;0.00909864;0.00340241;0.00973009;0.00765273;0.00305872;0.0115789;0.00162011;0.00630199;0.00541969;0.00533174;0.00517482;beach;beach;
b022_0_30.wav;0.0453705;0.00700342;0.0175117;0.0147948;0.3201;0.0120663;0.0163732;0.0173277;0.0131227;0.486409;0.00447302;0.0118787;0.0168895;0.00863618;0.00804298;metro_station;beach;
b011_180_210.wav;0.00557348;0.00631084;0.00234541;0.00618494;0.88195;0.0116042;0.00177371;0.0136369;0.00307405;0.00278045;0.00168429;0.0350398;0.0211496;0.00480466;0.00208732;city_center;beach;
b011_90_120.wav;0.0415478;0.0348328;0.00849487;0.0449791;0.630085;0.0702565;0.00681006;0.0320764;0.0062703;0.0179465;0.0063406;0.0203697;0.0466214;0.0250035;0.00836584;city_center;beach;
b011_150_180.wav;0.0442211;0.0465767;0.00988895;0.0460873;0.60412;0.0677454;0.00760576;0.0347344;0.00671511;0.0194887;0.0068934;0.0293951;0.0381867;0.0285443;0.00979678;city_center;beach;
b011_60_90.wav;0.0191592;0.0231822;0.00507574;0.0270961;0.769479;0.0348658;0.00387305;0.0190259;0.00383256;0.00922143;0.00368882;0.0217474;0.0418236;0.0130898;0.0048393;city_center;beach;
b011_120_150.wav;0.00609201;0.0109924;0.00307282;0.0076157;0.886122;0.0174075;0.00210182;0.0127675;0.0028158;0.00344042;0.00204225;0.0230861;0.0139021;0.00589233;0.00264937;city_center;beach;
b011_30_60.wav;0.0219706;0.032044;0.0126966;0.0731369;0.598769;0.0700163;0.00874454;0.039909;0.00824541;0.028374;0.00962103;0.0204951;0.0320204;0.0297831;0.0141737;city_center;beach;
b011_0_30.wav;0.0046519;0.00666415;0.00195216;0.00626179;0.906525;0.0127846;0.00136844;0.00667791;0.00176538;0.00334507;0.00129218;0.0094869;0.0300542;0.00537738;0.00179318;city_center;beach;
