Accuracy = 87.3333% (262/300) (classification);
Chave do vetor;Classe Predita;Classe correta;
b010_60_90.wav;beach;beach;
b022_120_150.wav;beach;beach;
b022_90_120.wav;beach;beach;
b011_90_120.wav;beach;beach;
b011_30_60.wav;beach;beach;
a112_120_150.wav;bus;bus;
b107_0_30.wav;car;bus;
b110_210_240.wav;train;bus;
b110_270_300.wav;bus;bus;
b110_240_270.wav;bus;bus;
a083_0_30.wav;cafe/restaurant;cafe/restaurant;
a083_90_120.wav;cafe/restaurant;cafe/restaurant;
a060_90_120.wav;cafe/restaurant;cafe/restaurant;
b050_90_120.wav;cafe/restaurant;cafe/restaurant;
b050_180_210.wav;cafe/restaurant;cafe/restaurant;
b096_240_270.wav;car;car;
b096_270_300.wav;car;car;
a133_120_150.wav;car;car;
a133_30_60.wav;car;car;
a095_150_180.wav;car;car;
b099_210_240.wav;city_center;city_center;
b094_90_120.wav;city_center;city_center;
b094_120_150.wav;city_center;city_center;
a131_0_30.wav;residential_area;city_center;
a131_120_150.wav;city_center;city_center;
a040_90_120.wav;park;forest_path;
a096_180_210.wav;forest_path;forest_path;
a096_210_240.wav;forest_path;forest_path;
a096_150_180.wav;forest_path;forest_path;
a059_0_30.wav;forest_path;forest_path;
b085_120_150.wav;grocery_store;grocery_store;
b085_150_180.wav;metro_station;grocery_store;
b087_0_30.wav;grocery_store;grocery_store;
a113_30_60.wav;cafe/restaurant;grocery_store;
a113_155_185.wav;grocery_store;grocery_store;
a031_30_60.wav;home;home;
a031_120_150.wav;home;home;
b032_90_120.wav;home;home;
b032_0_30.wav;cafe/restaurant;home;
b033_210_240.wav;home;home;
b033_30_60.wav;home;home;
b034_180_210.wav;library;library;
b034_60_90.wav;library;library;
b025_90_120.wav;cafe/restaurant;library;
b025_120_150.wav;library;library;
b038_120_150.wav;library;library;
b071_120_150.wav;metro_station;metro_station;
a084_242_272.wav;city_center;metro_station;
a084_212_242.wav;metro_station;metro_station;
a156_60_90.wav;office;metro_station;
a156_90_120.wav;office;metro_station;
a099_180_210.wav;office;office;
a099_0_30.wav;office;office;
b115_240_270.wav;office;office;
b115_30_60.wav;office;office;
a120_0_30.wav;office;office;
a018_30_60.wav;park;park;
a018_120_150.wav;park;park;
a017_0_30.wav;residential_area;park;
a017_180_210.wav;park;park;
b014_150_180.wav;park;park;
b008_90_120.wav;park;residential_area;
b008_150_180.wav;residential_area;residential_area;
a001_90_120.wav;forest_path;residential_area;
b006_90_120.wav;residential_area;residential_area;
b006_60_90.wav;park;residential_area;
b065_0_30.wav;car;train;
b065_204_234.wav;train;train;
a145_150_180.wav;train;train;
a145_240_270.wav;train;train;
b061_30_60.wav;train;train;
a148_270_300.wav;tram;tram;
b082_90_120.wav;tram;tram;
b082_150_180.wav;tram;tram;
a076_90_120.wav;tram;tram;
a076_30_60.wav;tram;tram;
